"ID","Days.x","Soil_type.x","Soil_moisture.x","Rep","Prop_less_than_53_um","Prop_250_53_um","Prop_2000_250_um","Prop_greater_than_2mm","Mean_weight_diameter","Extractable_organic_C","Microbial_biomass_C","Total_aggregate_associated_C"
"1-Clayey-Steady-1",1,"Clayey","Steady",1,0.01,0.01,0.37,0.61,3.48,93.769,113.967,11.7
"1-Clayey-Steady-2",1,"Clayey","Steady",2,0.01,0.01,0.35,0.63,3.53,91.709,144.051,13.38
"1-Clayey-Steady-3",1,"Clayey","Steady",3,0.01,0.02,0.33,0.63,3.55,70.347,131.584,12.23
"1-Clayey-Transient-1",1,"Clayey","Transient",1,0.07,0.03,0.19,0.72,3.8,66.918,135.666,12.21
"1-Clayey-Transient-2",1,"Clayey","Transient",2,0.04,0.03,0.14,0.8,4.14,78.609,83.867,12.02
"1-Clayey-Transient-3",1,"Clayey","Transient",3,0.07,0.05,0.2,0.69,3.66,68.854,173.809,12.24
"1-Loamy-Steady-1",1,"Loamy","Steady",1,0.07,0.03,0.35,0.56,3.2,78.192,129.712,12.8
"1-Loamy-Steady-2",1,"Loamy","Steady",2,0.07,0.01,0.36,0.56,3.21,100.789,102.928,16.38
"1-Loamy-Steady-3",1,"Loamy","Steady",3,0.07,0.02,0.37,0.54,3.12,108.426,114.21,14.43
"1-Loamy-Transient-1",1,"Loamy","Transient",1,0.06,0.06,0.12,0.77,3.97,82.842,120.953,15.97
"1-Loamy-Transient-2",1,"Loamy","Transient",2,0.09,0.09,0.16,0.66,3.5,99.922,146.043,12.55
"1-Loamy-Transient-3",1,"Loamy","Transient",3,0.06,0.06,0.09,0.81,4.13,78.874,145.039,12.89
"1-Sandy-Steady-1",1,"Sandy","Steady",1,0.09,0.18,0.73,0.01,0.88,79.045,119.595,4.69
"1-Sandy-Steady-2",1,"Sandy","Steady",2,0.08,0.17,0.74,0.01,0.9,98.339,110.577,4.38
"1-Sandy-Steady-3",1,"Sandy","Steady",3,0.08,0.18,0.74,0.01,0.89,89.93,93.357,4.48
"1-Sandy-Transient-1",1,"Sandy","Transient",1,0.05,0.3,0.63,0.03,0.88,89.517,113.082,6.56
"1-Sandy-Transient-2",1,"Sandy","Transient",2,0.03,0.26,0.7,0.02,0.9,88.389,106.979,4.61
"1-Sandy-Transient-3",1,"Sandy","Transient",3,0.06,0.29,0.62,0.04,0.94,87.503,98.097,5.28
"112-Clayey-Transient-1",112,"Clayey","Transient",1,0.17,0.33,0.32,0.19,1.36,35.359,81.14,-9999
"112-Clayey-Transient-2",112,"Clayey","Transient",2,0.16,0.34,0.3,0.21,1.44,29.693,78.724,-9999
"112-Clayey-Transient-3",112,"Clayey","Transient",3,0.19,0.31,0.3,0.21,1.41,47.468,58.368,-9999
"112-Loamy-Transient-1",112,"Loamy","Transient",1,0.53,0.14,0.22,0.12,0.88,78.471,76.684,-9999
"112-Loamy-Transient-2",112,"Loamy","Transient",2,0.52,0.17,0.18,0.14,0.94,69.395,94.15,-9999
"112-Loamy-Transient-3",112,"Loamy","Transient",3,0.53,0.15,0.14,0.19,1.14,63.125,95.095,-9999
"112-Sandy-Transient-1",112,"Sandy","Transient",1,0.09,0.32,0.58,0.02,0.77,49.699,69.266,-9999
"112-Sandy-Transient-2",112,"Sandy","Transient",2,0.1,0.31,0.58,0.02,0.77,49.354,68.26,-9999
"112-Sandy-Transient-3",112,"Sandy","Transient",3,0.09,0.34,0.56,0.03,0.8,45.093,72.314,-9999
"116-Clayey-Steady-1",116,"Clayey","Steady",1,0.05,0.03,0.39,0.53,3.11,36.508,75.904,12.19
"116-Clayey-Steady-2",116,"Clayey","Steady",2,0.07,0.04,0.37,0.52,3.02,34.676,66.006,10.1
"116-Clayey-Steady-3",116,"Clayey","Steady",3,0.07,0.02,0.38,0.53,3.07,33.39,74.125,9.9
"116-Clayey-Transient-1",116,"Clayey","Transient",1,0.23,0.29,0.3,0.18,1.26,22.924,37.272,9.4
"116-Clayey-Transient-2",116,"Clayey","Transient",2,0.23,0.31,0.27,0.2,1.35,10.833,48.108,9.39
"116-Clayey-Transient-3",116,"Clayey","Transient",3,0.2,0.3,0.28,0.22,1.45,21.804,30.442,9.08
