"date" "state" "city" "place_type" "confirmed" "deaths" "is_last" "estimated_population_2019" "city_ibge_code" "confirmed_per_100k_inhabitants" "death_rate"
"1" 2020-03-27 "AC" "Rio Branco" "city" 25 0 TRUE 407319 1200401 6.1377 NA
"2" 2020-03-27 "AC" NA "state" 25 0 TRUE 881935 12 2.83468 NA
"3" 2020-03-27 "AL" "Maceió" "city" 11 NA TRUE 1018948 2704302 1.07954 NA
"4" 2020-03-27 "AL" "Porto Real do Colégio" "city" 1 NA TRUE 20066 2707503 4.98355 NA
"5" 2020-03-27 "AL" NA "state" 12 NA TRUE 3337357 27 0.35957 NA
"6" 2020-03-27 "AM" "Boca do Acre" "city" 1 NA TRUE 34308 1300706 2.91477 NA
"7" 2020-03-27 "AM" "Manacapuru" "city" 2 NA TRUE 97377 1302504 2.05387 NA
"8" 2020-03-27 "AM" "Manaus" "city" 75 NA TRUE 2182763 1302603 3.43601 NA
"9" 2020-03-27 "AM" "Parintins" "city" 2 1 TRUE 114273 1303403 1.75019 0.5
"10" 2020-03-27 "AM" "Santo Antônio do Içá" "city" 1 NA TRUE 21602 1303700 4.6292 NA
"11" 2020-03-27 "AM" NA "state" 81 1 TRUE 4144597 13 1.95435 0.0123
"12" 2020-03-27 "AP" "Macapá" "city" 2 0 TRUE 503327 1600303 0.39736 NA
"13" 2020-03-27 "AP" NA "state" 2 0 TRUE 845731 16 0.23648 NA
"14" 2020-03-27 "BA" "Alagoinhas" "city" 1 0 TRUE 151596 2900702 0.65965 NA
"15" 2020-03-27 "BA" "Barreiras" "city" 1 0 TRUE 155439 2903201 0.64334 NA
"16" 2020-03-27 "BA" "Brumado" "city" 1 0 TRUE 67195 2904605 1.48821 NA
"17" 2020-03-27 "BA" "Camaçari" "city" 1 0 TRUE 299132 2905701 0.3343 NA
"18" 2020-03-27 "BA" "Canarana" "city" 1 0 TRUE 26176 2906204 3.82029 NA
"19" 2020-03-27 "BA" "Conceição do Jacuípe" "city" 1 0 TRUE 33153 2908507 3.01632 NA
"20" 2020-03-27 "BA" "Conde" "city" 1 0 TRUE 25837 2908606 3.87042 NA
"21" 2020-03-27 "BA" "Feira de Santana" "city" 9 0 TRUE 614872 2910800 1.46372 NA
"22" 2020-03-27 "BA" "Ilhéus" "city" 2 0 TRUE 162327 2913606 1.23208 NA
"23" 2020-03-27 "BA" "Importados/Indefinidos" "city" 0 0 TRUE NA NA NA NA
"24" 2020-03-27 "BA" "Ipiaú" "city" 1 0 TRUE 45873 2913903 2.17993 NA
"25" 2020-03-27 "BA" "Itabuna" "city" 2 0 TRUE 213223 2914802 0.93799 NA
"26" 2020-03-27 "BA" "Jequié" "city" 1 0 TRUE 155966 2918001 0.64117 NA
"27" 2020-03-27 "BA" "Juazeiro" "city" 2 0 TRUE 216707 2918407 0.92291 NA
"28" 2020-03-27 "BA" "Lauro de Freitas" "city" 7 0 TRUE 198440 2919207 3.52751 NA
"29" 2020-03-27 "BA" "Porto Seguro" "city" 10 0 TRUE 148686 2925303 6.72558 NA
"30" 2020-03-27 "BA" "Prado" "city" 2 0 TRUE 28174 2925501 7.09874 NA
"31" 2020-03-27 "BA" "Salvador" "city" 78 0 TRUE 2872347 2927408 2.71555 NA
"32" 2020-03-27 "BA" "São Domingos" "city" 1 0 TRUE 9058 2928950 11.03996 NA
"33" 2020-03-27 "BA" "Teixeira de Freitas" "city" 1 0 TRUE 160487 2931350 0.6231 NA
"34" 2020-03-27 "BA" NA "state" 123 0 TRUE 14873064 29 0.827 NA
"35" 2020-03-27 "CE" "Aquiraz" "city" 6 0 TRUE 80271 2301000 7.47468 NA
"36" 2020-03-27 "CE" "Fortaleza" "city" 268 3 TRUE 2669342 2304400 10.03993 0.0112
"37" 2020-03-27 "CE" "Fortim" "city" 1 0 TRUE 16480 2304459 6.06796 NA
